Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3530508;Interior;Mococa;5791;236;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;33823;1682;;;
3530706;Interior;Mogi Guaçu;19801;595;;;
3530805;Interior;Mogi Mirim;12012;353;;;
3530904;Interior;Mombuca;464;10;;;
3531001;Interior;Monções;249;6;;;
3531100;Interior;Mongaguá;2335;88;;;
3531209;Interior;Monte Alegre do Sul;665;10;;;
3531308;Interior;Monte Alto;6498;189;;;
3531407;Interior;Monte Aprazível;3066;89;;;
3531506;Interior;Monte Azul Paulista;2363;26;;;
3531605;Interior;Monte Castelo;679;16;;;
3531704;Interior;Monteiro Lobato;287;9;;;
3531803;Interior;Monte Mor;7115;138;;;
3531902;Interior;Morro Agudo;4634;101;;;
3532009;Interior;Morungaba;1079;28;;;
3532058;Interior;Motuca;363;9;;;
3532108;Interior;Murutinga do Sul;424;19;;;
3532157;Interior;Nantes;243;7;;;
3532207;Interior;Narandiba;878;21;;;
3532306;Interior;Natividade da Serra;218;10;;;
3532405;Interior;Nazaré Paulista;1623;49;;;
3532504;Interior;Neves Paulista;1419;43;;;
3532603;Interior;Nhandeara;1491;50;;;
3532702;Interior;Nipoã;509;15;;;
3532801;Interior;Nova Aliança;1155;25;;;
3532827;Interior;Nova Campina;891;42;;;
3532843;Interior;Nova Canaã Paulista;300;6;;;
3532868;Interior;Nova Castilho;112;3;;;
3532900;Interior;Nova Europa;829;29;;;
3533007;Interior;Nova Granada;3288;73;;;
3533106;Interior;Nova Guataporanga;218;4;;;
3533205;Interior;Nova Independência;551;7;;;
3533254;Interior;Novais;306;12;;;
3533304;Interior;Nova Luzitânia;386;13;;;
3533403;Interior;Nova Odessa;7271;223;;;
3533502;Interior;Novo Horizonte;6062;216;;;
3533601;Interior;Nuporanga;407;10;;;
3533700;Interior;Ocauçu;441;4;;;
3533809;Interior;Óleo;156;5;;;
3533908;Interior;Olímpia;10523;268;;;
3534005;Interior;Onda Verde;927;27;;;
3534104;Interior;Oriente;421;25;;;
3534203;Interior;Orindiúva;1332;18;;;
3534302;Interior;Orlândia;4742;121;;;
3534401;RMSP (exceto capital);Osasco;45561;2629;;;
3534500;Interior;Oscar Bressane;338;7;;;
3534609;Interior;Osvaldo Cruz;4531;119;;;
3534708;Interior;Ourinhos;15071;499;;;
3534757;Interior;Ouroeste;1412;44;;;
3534807;Interior;Ouro Verde;1014;27;;;
3534906;Interior;Pacaembu;1358;38;;;
3535002;Interior;Palestina;671;40;;;
3535101;Interior;Palmares Paulista;1654;44;;;
3535200;Interior;Palmeira d'Oeste;978;19;;;
3535309;Interior;Palmital;2892;70;;;
3535408;Interior;Panorama;1880;55;;;
3535507;Interior;Paraguaçu Paulista;5231;157;;;
3535606;Interior;Paraibuna;1252;47;;;
3535705;Interior;Paraíso;554;24;;;
3535804;Interior;Paranapanema;2141;74;;;
3535903;Interior;Paranapuã;539;23;;;
3536000;Interior;Parapuã;1550;39;;;
3536109;Interior;Pardinho;807;15;;;
3536208;Interior;Pariquera-Açu;2459;58;;;
3536257;Interior;Parisi;474;17;;;
3536307;Interior;Patrocínio Paulista;1132;33;;;
3536406;Interior;Paulicéia;849;21;;;
3536505;Interior;Paulínia;15662;304;;;
3536570;Interior;Paulistânia;202;5;;;
3536604;Interior;Paulo de Faria;671;36;;;
3536703;Interior;Pederneiras;5179;122;;;
3536802;Interior;Pedra Bela;235;4;;;
3536901;Interior;Pedranópolis;290;9;;;
3537008;Interior;Pedregulho;364;21;;;
3537107;Interior;Pedreira;4449;97;;;
3537156;Interior;Pedrinhas Paulista;443;7;;;
3537206;Interior;Pedro de Toledo;449;15;;;
3537305;Interior;Penápolis;7163;248;;;
3537404;Interior;Pereira Barreto;2737;103;;;
3537503;Interior;Pereiras;1181;24;;;
3537602;Interior;Peruíbe;7141;236;;;
3537701;Interior;Piacatu;798;10;;;
3537800;Interior;Piedade;6167;158;;;
3537909;Interior;Pilar do Sul;3033;81;;;
3538006;Interior;Pindamonhangaba;15141;382;;;
3538105;Interior;Pindorama;1948;56;;;
3538204;Interior;Pinhalzinho;1353;8;;;
3538303;Interior;Piquerobi;243;6;;;
3538501;Interior;Piquete;358;18;;;
3538600;Interior;Piracaia;3657;55;;;
3538709;Interior;Piracicaba;64066;1387;;;
3538808;Interior;Piraju;2001;84;;;
3538907;Interior;Pirajuí;2452;60;;;
3539004;Interior;Pirangi;1779;66;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1666;21;;;
3539202;Interior;Pirapozinho;3006;72;;;
3539301;Interior;Pirassununga;9103;258;;;
3539400;Interior;Piratininga;1493;41;;;
3539509;Interior;Pitangueiras;5437;163;;;
3539608;Interior;Planalto;650;10;;;
3539707;Interior;Platina;406;11;;;
3539806;RMSP (exceto capital);Poá;8976;396;;;
3539905;Interior;Poloni;905;18;;;
3540002;Interior;Pompéia;1001;38;;;
3540101;Interior;Pongaí;358;11;;;
3540200;Interior;Pontal;5129;163;;;
3540259;Interior;Pontalinda;209;15;;;
3540309;Interior;Pontes Gestal;440;8;;;
3540408;Interior;Populina;345;13;;;
3540507;Interior;Porangaba;945;20;;;
3540606;Interior;Porto Feliz;9281;147;;;
3540705;Interior;Porto Ferreira;7653;165;;;
3540754;Interior;Potim;2040;39;;;
3540804;Interior;Potirendaba;3129;78;;;
3540853;Interior;Pracinha;130;2;;;
3540903;Interior;Pradópolis;1981;37;;;
3541000;Interior;Praia Grande;27516;1017;;;
3541059;Interior;Pratânia;878;13;;;
3541109;Interior;Presidente Alves;284;8;;;
3541208;Interior;Presidente Bernardes;1319;40;;;
3541307;Interior;Presidente Epitácio;3299;121;;;
3541406;Interior;Presidente Prudente;31947;892;;;
3541505;Interior;Presidente Venceslau;3750;111;;;
3541604;Interior;Promissão;5563;105;;;
3541653;Interior;Quadra;238;8;;;
3541703;Interior;Quatá;1617;30;;;
3541802;Interior;Queiroz;489;3;;;
3541901;Interior;Queluz;1024;23;;;
3542008;Interior;Quintana;579;30;;;
3542107;Interior;Rafard;1082;11;;;
3542206;Interior;Rancharia;4190;93;;;
3542305;Interior;Redenção da Serra;115;3;;;
3542404;Interior;Regente Feijó;750;63;;;
3542503;Interior;Reginópolis;329;21;;;
3542602;Interior;Registro;6629;216;;;
3542701;Interior;Restinga;724;10;;;
3542800;Interior;Ribeira;460;4;;;
3542909;Interior;Ribeirão Bonito;1073;29;;;
3543006;Interior;Ribeirão Branco;2026;59;;;
